region	chr	midPos	Nsites
(1798,2664)(205232,207202)(200000,250000)	JASDQU010104155.1	225000	868	0.199354
(291,2592)(107718,111430)(100000,150000)	JASDQU010104158.1	125000	2303	0.262172
(2238,2321)(350000,350104)(350000,400000)	JASDQU010104172.1	375000	85	0.070665
(298,566)(119977,120279)(100000,150000)	JASDQU010104187.1	125000	270	0.211942
(404,873)(342891,343502)(300000,350000)	JASDQU010104193.1	325000	471	0.014317
(191,2589)(87599,99463)(50000,100000)	JASDQU010104213.1	75000	2400	0.497534
(338,2979)(62577,65802)(50000,100000)	JASDQU010104215.1	75000	2643	0.687066
(178,825)(298760,299413)(250000,300000)	JASDQU010104220.1	275000	649	0.102596
(1131,1356)(109242,109471)(100000,150000)	JASDQU010104225.1	125000	227	0.055533
(217,227)(306735,306746)(300000,350000)	JASDQU010104229.1	325000	12	0.158703
(2488,2929)(287096,287545)(250000,300000)	JASDQU010104242.1	275000	443	0.084596
(666,1201)(50287,50824)(50000,100000)	JASDQU010104250.1	75000	537	0.471834
(4108,5155)(75196,81541)(50000,100000)	JASDQU010104256.1	75000	1049	0.389447
(488,2495)(112934,115000)(100000,150000)	JASDQU010104258.1	125000	2009	0.378295
(338,907)(316320,316919)(300000,350000)	JASDQU010104270.1	325000	571	0.249798
(3539,5395)(153362,179607)(150000,200000)	JASDQU010104279.1	175000	1858	0.411902
(456,590)(385846,385981)(350000,400000)	JASDQU010104293.1	375000	136	0.083372
(28,1369)(250865,253737)(250000,300000)	JASDQU010104313.1	275000	1343	0.225399
(3365,3627)(61381,76983)(50000,100000)	JASDQU010104321.1	75000	264	0.114239
(3628,4256)(174755,175415)(150000,200000)	JASDQU010104321.1	175000	630	0.809374
(4257,6207)(497565,499999)(450000,500000)	JASDQU010104321.1	475000	1952	0.560553
(6208,6871)(500000,500677)(500000,550000)	JASDQU010104321.1	525000	665	0.559136
(54,277)(140568,140794)(100000,150000)	JASDQU010104331.1	125000	225	0.127253
(6,566)(188137,193210)(150000,200000)	JASDQU010104337.1	175000	562	0.261088
(683,1301)(243935,244564)(200000,250000)	JASDQU010104367.1	225000	620	0.479727
(1302,1658)(328855,341004)(300000,350000)	JASDQU010104367.1	325000	358	0.178401
(1659,2008)(358499,358861)(350000,400000)	JASDQU010104367.1	375000	351	0.077065
(321,550)(366062,366317)(350000,400000)	JASDQU010104368.1	375000	231	0.757134
(960,1038)(129640,129785)(100000,150000)	JASDQU010104370.1	125000	80	0.047324
(539,1083)(173527,174309)(150000,200000)	JASDQU010104371.1	175000	546	0.101707
(2257,2461)(287069,287276)(250000,300000)	JASDQU010104376.1	275000	206	0.015592
(710,773)(61231,61304)(50000,100000)	JASDQU010104385.1	75000	65	0.019632
(774,799)(189684,189709)(150000,200000)	JASDQU010104385.1	175000	27	0.081385
(31,165)(173192,173326)(150000,200000)	JASDQU010104390.1	175000	136	0.006592
(166,466)(225932,226299)(200000,250000)	JASDQU010104390.1	225000	302	0.052304
(467,1017)(292629,293307)(250000,300000)	JASDQU010104390.1	275000	552	0.050862
(1142,1862)(262354,263091)(250000,300000)	JASDQU010104402.1	275000	722	0.305634
(1863,2031)(301448,301623)(300000,350000)	JASDQU010104402.1	325000	170	0.141474
(268,2879)(56071,59743)(50000,100000)	JASDQU010104403.1	75000	2613	0.304155
(161,1157)(100469,101517)(100000,150000)	JASDQU010104411.1	125000	998	0.226666
(1265,2092)(351453,352288)(350000,400000)	JASDQU010104432.1	375000	829	0.012407
(2093,3823)(504166,509584)(500000,550000)	JASDQU010104432.1	525000	1732	0.128952
(218,1078)(51113,52518)(50000,100000)	JASDQU010104433.1	75000	862	0.307726
(1145,1344)(163885,164108)(150000,200000)	JASDQU010104436.1	175000	201	0.254094
(164,735)(113018,113600)(100000,150000)	JASDQU010104450.1	125000	573	0.053746
(689,1603)(135648,136563)(100000,150000)	JASDQU010104453.1	125000	916	0.039611
(119,1233)(82725,86545)(50000,100000)	JASDQU010104464.1	75000	1116	0.302305
(369,376)(300129,300143)(300000,350000)	JASDQU010104467.1	325000	9	0.057737
(784,1447)(217004,217724)(200000,250000)	JASDQU010104468.1	225000	665	0.001759
(603,717)(103679,103794)(100000,150000)	JASDQU010104484.1	125000	116	0.072742
(373,757)(269450,269992)(250000,300000)	JASDQU010104485.1	275000	386	0.074057
(1596,1871)(238452,246721)(200000,250000)	JASDQU010104489.1	225000	277	0.027695
(1872,1982)(289245,289470)(250000,300000)	JASDQU010104489.1	275000	112	0.052275
(1983,2115)(335592,338085)(300000,350000)	JASDQU010104489.1	325000	134	0.188324
(233,1300)(132981,136354)(100000,150000)	JASDQU010104500.1	125000	1069	0.260729
(2550,2763)(202844,203171)(200000,250000)	JASDQU010104512.1	225000	215	0.085162
(62,341)(423530,423967)(400000,450000)	JASDQU010104517.1	425000	281	0.038929
(224,1388)(303517,304683)(300000,350000)	JASDQU010104519.1	325000	1166	0.438540
(1218,2364)(54324,92358)(50000,100000)	JASDQU010104530.1	75000	1148	0.280927
(854,1128)(72610,72929)(50000,100000)	JASDQU010104539.1	75000	276	0.581857
(1284,6501)(78794,89269)(50000,100000)	JASDQU010104546.1	75000	5219	0.304239
(795,1080)(70786,90866)(50000,100000)	JASDQU010104557.1	75000	287	0.379094
(51,2178)(445459,449999)(400000,450000)	JASDQU010104558.1	425000	2129	0.036163
(235,562)(95041,95604)(50000,100000)	JASDQU010104560.1	75000	329	0.084261
(563,807)(199670,199999)(150000,200000)	JASDQU010104560.1	175000	246	0.081717
(808,2120)(200000,227224)(200000,250000)	JASDQU010104560.1	225000	1314	0.108604
(689,1503)(205627,230815)(200000,250000)	JASDQU010104567.1	225000	816	0.188212
(47,252)(178925,179274)(150000,200000)	JASDQU010104571.1	175000	207	0.060297
(253,692)(269665,285478)(250000,300000)	JASDQU010104571.1	275000	441	0.145578
(231,808)(413363,445977)(400000,450000)	JASDQU010104572.1	425000	579	0.038999
(163,166)(59591,59594)(50000,100000)	JASDQU010104577.1	75000	5	0.072388
(167,2777)(215232,231869)(200000,250000)	JASDQU010104577.1	225000	2612	0.274701
(599,1451)(247160,248013)(200000,250000)	JASDQU010104578.1	225000	854	0.590996
(373,2977)(242915,246312)(200000,250000)	JASDQU010104604.1	225000	2606	0.485785
(2978,3766)(263946,276497)(250000,300000)	JASDQU010104604.1	275000	790	0.101304
(3767,4290)(300550,308656)(300000,350000)	JASDQU010104604.1	325000	525	0.498705
(4291,4397)(392385,392493)(350000,400000)	JASDQU010104604.1	375000	108	0.011428
(293,322)(95512,95571)(50000,100000)	JASDQU010104607.1	75000	31	0.025488
(323,327)(216356,216361)(200000,250000)	JASDQU010104607.1	225000	6	0.038997
(328,2197)(309474,347573)(300000,350000)	JASDQU010104607.1	325000	1871	0.336152
(2198,7996)(351625,393425)(350000,400000)	JASDQU010104607.1	375000	5800	0.466067
(7997,8949)(404029,414268)(400000,450000)	JASDQU010104607.1	425000	954	0.025297
(863,1550)(360622,361318)(350000,400000)	JASDQU010104611.1	375000	689	0.072516
(1551,2666)(401457,445637)(400000,450000)	JASDQU010104611.1	425000	1117	0.251422
(141,963)(132437,135644)(100000,150000)	JASDQU010104621.1	125000	824	0.079542
(24,165)(337611,344696)(300000,350000)	JASDQU010104622.1	325000	143	0.102556
(166,785)(376144,376783)(350000,400000)	JASDQU010104622.1	375000	621	0.230655
(54,961)(148364,149440)(100000,150000)	JASDQU010104627.1	125000	909	0.210612
(120,718)(410034,410669)(400000,450000)	JASDQU010104637.1	425000	600	0.137693
(719,1289)(627844,641549)(600000,650000)	JASDQU010104637.1	625000	572	0.020405
(1290,1365)(690341,690586)(650000,700000)	JASDQU010104637.1	675000	77	0.721798
(871,1070)(63467,63710)(50000,100000)	JASDQU010104638.1	75000	201	0.004631
(4026,4262)(192475,192721)(150000,200000)	JASDQU010104641.1	175000	238	0.426268
(19,453)(138846,139345)(100000,150000)	JASDQU010104642.1	125000	436	0.292539
(454,1060)(226111,248717)(200000,250000)	JASDQU010104642.1	225000	608	0.199122
(1061,1829)(257647,291872)(250000,300000)	JASDQU010104642.1	275000	770	0.226463
(1830,2531)(310703,314956)(300000,350000)	JASDQU010104642.1	325000	703	0.187612
(459,1183)(217435,218177)(200000,250000)	JASDQU010104646.1	225000	726	0.001253
(239,1448)(382460,384444)(350000,400000)	JASDQU010104647.1	375000	1211	0.420782
(280,1161)(68969,69866)(50000,100000)	JASDQU010104653.1	75000	883	0.586144
(1162,1400)(152248,152556)(150000,200000)	JASDQU010104653.1	175000	240	0.419676
(260,411)(93224,93575)(50000,100000)	JASDQU010104656.1	75000	153	0.136651
(7,225)(163259,163486)(150000,200000)	JASDQU010104663.1	175000	220	0.186080
(2380,2829)(224568,230373)(200000,250000)	JASDQU010104666.1	225000	451	0.041541
(2830,3017)(251243,251451)(250000,300000)	JASDQU010104666.1	275000	189	0.032408
(3018,3144)(341776,341914)(300000,350000)	JASDQU010104666.1	325000	128	0.037224
(1537,1908)(191929,192300)(150000,200000)	JASDQU010104675.1	175000	373	0.028563
(209,459)(350305,350817)(350000,400000)	JASDQU010104677.1	375000	252	0.033887
(460,640)(438277,438457)(400000,450000)	JASDQU010104677.1	425000	182	0.334910
(1879,3582)(180978,198124)(150000,200000)	JASDQU010104680.1	175000	1705	0.300820
(3583,4168)(205960,206555)(200000,250000)	JASDQU010104680.1	225000	587	0.040158
(497,1199)(102945,111869)(100000,150000)	JASDQU010104684.1	125000	704	0.045375
(1200,1289)(230157,230271)(200000,250000)	JASDQU010104684.1	225000	91	0.242595
(842,920)(100297,100383)(100000,150000)	JASDQU010104685.1	125000	80	0.058216
(921,1673)(183479,184256)(150000,200000)	JASDQU010104685.1	175000	754	0.649011
(396,1282)(163754,168529)(150000,200000)	JASDQU010104693.1	175000	888	0.422812
(24,139)(221225,221476)(200000,250000)	JASDQU010104700.1	225000	117	0.049807
(1289,1373)(275367,275486)(250000,300000)	JASDQU010104704.1	275000	86	0.010188
(883,2903)(56672,69053)(50000,100000)	JASDQU010104719.1	75000	2022	0.779239
(71,934)(157105,158209)(150000,200000)	JASDQU010104725.1	175000	865	0.079642
(1805,5063)(50001,58591)(50000,100000)	JASDQU010104739.1	75000	3260	0.208028
(5064,5212)(175925,176077)(150000,200000)	JASDQU010104739.1	175000	150	0.112538
(402,1024)(75965,81070)(50000,100000)	JASDQU010104744.1	75000	624	0.596665
(336,428)(228199,249995)(200000,250000)	JASDQU010104754.1	225000	94	0.140094
(217,6470)(83620,95069)(50000,100000)	JASDQU010104758.1	75000	6255	0.329240
(488,1327)(50056,82852)(50000,100000)	JASDQU010104780.1	75000	841	0.093603
(380,467)(104796,104910)(100000,150000)	JASDQU010104783.1	125000	89	0.105184
(93,134)(349663,349709)(300000,350000)	JASDQU010104791.1	325000	43	0.035378
(121,239)(88642,88763)(50000,100000)	JASDQU010104804.1	75000	120	0.073500
(137,541)(159900,160334)(150000,200000)	JASDQU010104814.1	175000	406	0.100067
(1564,2406)(69907,70753)(50000,100000)	JASDQU010104824.1	75000	844	0.174467
(337,522)(222337,222537)(200000,250000)	JASDQU010104847.1	225000	187	0.058842
(156,991)(150000,151266)(150000,200000)	JASDQU010104886.1	175000	837	0.264064
(30,717)(76365,77074)(50000,100000)	JASDQU010104894.1	75000	689	0.084652
(233,523)(152221,165289)(150000,200000)	JASDQU010104901.1	175000	292	0.063839
(524,744)(335613,335846)(300000,350000)	JASDQU010104901.1	325000	222	0.613914
(745,1542)(395540,396467)(350000,400000)	JASDQU010104901.1	375000	799	0.567233
(29,1857)(188057,189996)(150000,200000)	JASDQU010104910.1	175000	1830	0.072324
(33,1657)(150001,153529)(150000,200000)	JASDQU010104940.1	175000	1626	0.564642
(142,623)(72221,72715)(50000,100000)	JASDQU010104950.1	75000	483	-0.002182
(123,533)(283336,283749)(250000,300000)	JASDQU010104954.1	275000	412	0.052950
(1172,1361)(86125,86736)(50000,100000)	JASDQU010104960.1	75000	191	0.168610
(68,68)(85967,85967)(50000,100000)	JASDQU010104988.1	75000	2	0.035411
(1704,1710)(195245,195251)(150000,200000)	JASDQU010104996.1	175000	8	0.044367
(343,566)(335634,335985)(300000,350000)	JASDQU010105001.1	325000	225	0.283823
(22,2162)(57617,85544)(50000,100000)	JASDQU010105028.1	75000	2142	0.199235
(2562,2711)(78822,78975)(50000,100000)	JASDQU010105031.1	75000	151	0.133344
(731,1073)(51608,51962)(50000,100000)	JASDQU010105049.1	75000	344	0.373796
(9466,9734)(167086,190534)(150000,200000)	JASDQU010105086.1	175000	270	0.042852
(36,176)(100000,144324)(100000,150000)	JASDQU010105093.1	125000	142	0.339202
(3692,8066)(74193,79561)(50000,100000)	JASDQU010105121.1	75000	4376	0.156697
(467,487)(53700,53747)(50000,100000)	JASDQU010105136.1	75000	22	0.036603
(143,923)(114356,115287)(100000,150000)	JASDQU010105168.1	125000	782	0.044909
(494,513)(185322,185352)(150000,200000)	JASDQU010105177.1	175000	21	0.082661
(514,3182)(223506,227499)(200000,250000)	JASDQU010105177.1	225000	2670	0.016887
(321,793)(106615,107119)(100000,150000)	JASDQU010105182.1	125000	474	0.013381
(458,519)(142175,142288)(100000,150000)	JASDQU010105226.1	125000	63	0.176789
(520,1823)(234695,236015)(200000,250000)	JASDQU010105226.1	225000	1305	0.450712
(464,2357)(124381,133603)(100000,150000)	JASDQU010105227.1	125000	1895	0.059466
(2412,3152)(120403,121414)(100000,150000)	JASDQU010105275.1	125000	742	0.211243
(3153,3920)(167956,168723)(150000,200000)	JASDQU010105275.1	175000	769	0.396240
(876,877)(215568,215569)(200000,250000)	JASDQU010105291.1	225000	3	0.043642
(878,1073)(471308,471504)(450000,500000)	JASDQU010105291.1	475000	197	0.051883
(4,1180)(219915,221107)(200000,250000)	JASDQU010105294.1	225000	1178	0.544791
(78,370)(128168,129105)(100000,150000)	JASDQU010105349.1	125000	294	0.063214
(154,1239)(251917,253043)(250000,300000)	JASDQU010105352.1	275000	1087	0.410285
(1240,4199)(307284,334572)(300000,350000)	JASDQU010105352.1	325000	2961	0.382893
(1425,1826)(55651,56135)(50000,100000)	JASDQU010105376.1	75000	403	0.136544
(226,315)(174420,174521)(150000,200000)	JASDQU010105378.1	175000	91	0.445073
(84,238)(65702,65936)(50000,100000)	JASDQU010105393.1	75000	156	0.049938
(469,681)(85908,99031)(50000,100000)	JASDQU010105403.1	75000	214	0.037206
(682,1266)(123102,138392)(100000,150000)	JASDQU010105403.1	125000	586	0.647260
(1267,1355)(160517,160607)(150000,200000)	JASDQU010105403.1	175000	90	0.030836
(47,994)(93436,94666)(50000,100000)	JASDQU010105420.1	75000	949	0.198346
(4074,8970)(55302,80725)(50000,100000)	JASDQU010105446.1	75000	4898	0.157220
(873,1006)(54936,55089)(50000,100000)	JASDQU010105466.1	75000	135	0.173798
(868,1291)(54204,77579)(50000,100000)	JASDQU010105481.1	75000	425	0.159143
(1127,1668)(124066,124635)(100000,150000)	JASDQU010105543.1	125000	543	0.491377
(7,180)(103831,104006)(100000,150000)	JASDQU010105574.1	125000	175	0.009752
(70,1969)(151291,153221)(150000,200000)	JASDQU010105586.1	175000	1901	0.184103
(156,1050)(95214,96114)(50000,100000)	JASDQU010105611.1	75000	896	0.210573
(526,605)(92620,92702)(50000,100000)	JASDQU010105621.1	75000	81	0.044537
(12,209)(100318,100563)(100000,150000)	JASDQU010105639.1	125000	199	0.503375
(302,963)(71400,72066)(50000,100000)	JASDQU010105649.1	75000	663	0.542317
(964,3330)(179480,181861)(150000,200000)	JASDQU010105649.1	175000	2368	0.431347
(822,2643)(67982,70145)(50000,100000)	JASDQU010105660.1	75000	1823	0.349837
(2353,2665)(192624,193140)(150000,200000)	JASDQU010105692.1	175000	314	0.040480
(335,484)(201879,202201)(200000,250000)	JASDQU010105693.1	225000	151	0.065185
(685,831)(255017,255168)(250000,300000)	JASDQU010105718.1	275000	148	0.379146
(386,392)(117091,117099)(100000,150000)	JASDQU010105722.1	125000	8	0.046167
(155,335)(235453,235672)(200000,250000)	JASDQU010105732.1	225000	182	0.144102
(517,1333)(68164,68998)(50000,100000)	JASDQU010105754.1	75000	818	0.553260
(1334,1888)(259159,288711)(250000,300000)	JASDQU010105754.1	275000	556	0.021744
(1889,2978)(324644,337493)(300000,350000)	JASDQU010105754.1	325000	1091	0.023878
(2,1033)(100002,129760)(100000,150000)	JASDQU010105763.1	125000	1033	0.067473
(1473,2084)(152737,157987)(150000,200000)	JASDQU010105776.1	175000	613	0.036884
(83,357)(139891,140184)(100000,150000)	JASDQU010105783.1	125000	276	0.269424
(3322,3774)(78356,78823)(50000,100000)	JASDQU010105796.1	75000	454	0.246791
(881,1750)(73696,96604)(50000,100000)	JASDQU010105803.1	75000	871	0.052386
(1035,2891)(132123,134009)(100000,150000)	JASDQU010105827.1	125000	1858	0.466979
(129,761)(234187,234889)(200000,250000)	JASDQU010105843.1	225000	634	0.039833
(562,841)(156205,157248)(150000,200000)	JASDQU010105844.1	175000	281	0.037691
(547,3964)(175745,179712)(150000,200000)	JASDQU010105857.1	175000	3419	0.370098
(482,920)(60220,60659)(50000,100000)	JASDQU010105888.1	75000	440	0.029296
(761,1969)(300215,301446)(300000,350000)	JASDQU010105909.1	325000	1210	0.235727
(6,545)(201322,201993)(200000,250000)	JASDQU010105938.1	225000	541	0.625429
(46,2299)(122010,135306)(100000,150000)	JASDQU010105956.1	125000	2255	0.474233
(998,1805)(71772,72581)(50000,100000)	JASDQU010105997.1	75000	809	0.310020
(1806,2013)(113047,113255)(100000,150000)	JASDQU010105997.1	125000	209	0.016224
(202,420)(193359,193770)(150000,200000)	JASDQU010106001.1	175000	220	0.069565
(421,783)(247221,247583)(200000,250000)	JASDQU010106001.1	225000	364	0.030916
(79,231)(126727,127417)(100000,150000)	JASDQU010106006.1	125000	154	0.130639
(232,801)(232516,233090)(200000,250000)	JASDQU010106006.1	225000	571	0.030477
(802,1384)(298455,299999)(250000,300000)	JASDQU010106006.1	275000	584	0.031846
(1037,1405)(82534,83135)(50000,100000)	JASDQU010106011.1	75000	370	0.249130
(343,571)(134015,134265)(100000,150000)	JASDQU010106054.1	125000	230	0.029636
(205,231)(87632,87668)(50000,100000)	JASDQU010106062.1	75000	28	0.046361
(2985,3841)(67624,68912)(50000,100000)	JASDQU010106083.1	75000	858	0.079115
(1390,1845)(77657,78157)(50000,100000)	JASDQU010106093.1	75000	457	0.574228
(669,1574)(60208,64836)(50000,100000)	JASDQU010106116.1	75000	907	0.353623
(138,292)(101075,101229)(100000,150000)	JASDQU010106170.1	125000	156	0.031595
(576,582)(165891,165899)(150000,200000)	JASDQU010106203.1	175000	8	0.114292
(586,772)(53992,54338)(50000,100000)	JASDQU010106214.1	75000	188	0.057389
(1378,2950)(105584,135004)(100000,150000)	JASDQU010106217.1	125000	1574	0.259292
(157,3151)(59384,83569)(50000,100000)	JASDQU010106237.1	75000	2996	0.631803
(1724,2471)(137261,138055)(100000,150000)	JASDQU010106277.1	125000	749	0.576453
(1012,1101)(121599,121718)(100000,150000)	JASDQU010106348.1	125000	91	0.042573
(499,2121)(91226,92931)(50000,100000)	JASDQU010106355.1	75000	1624	0.193436
(1190,3676)(91952,98921)(50000,100000)	JASDQU010106386.1	75000	2488	0.436021
(60,186)(154604,154730)(150000,200000)	JASDQU010106436.1	175000	128	0.229080
(393,993)(133377,133989)(100000,150000)	JASDQU010106459.1	125000	602	0.221106
(658,678)(99976,99999)(50000,100000)	JASDQU010106462.1	75000	22	0.036850
(316,662)(78732,79538)(50000,100000)	JASDQU010106466.1	75000	348	0.051647
(663,1376)(120359,121315)(100000,150000)	JASDQU010106466.1	125000	715	0.263129
(1377,1513)(185938,186087)(150000,200000)	JASDQU010106466.1	175000	138	0.028034
(178,316)(107525,107673)(100000,150000)	JASDQU010106475.1	125000	140	0.101285
(1077,2013)(132599,133599)(100000,150000)	JASDQU010106495.1	125000	938	0.288844
(1208,6541)(50000,56363)(50000,100000)	JASDQU010106513.1	75000	5335	0.581670
(1475,2088)(54477,55094)(50000,100000)	JASDQU010106522.1	75000	615	0.745083
(773,1576)(70335,71272)(50000,100000)	JASDQU010106523.1	75000	805	0.185356
(13,54)(69396,69523)(50000,100000)	JASDQU010106536.1	75000	43	0.615147
(70,2027)(109777,134219)(100000,150000)	JASDQU010106539.1	125000	1959	0.408242
(1122,1993)(221598,222496)(200000,250000)	JASDQU010106547.1	225000	873	0.440944
(1308,2268)(153792,154764)(150000,200000)	JASDQU010106558.1	175000	962	0.760090
(1947,1981)(123153,123214)(100000,150000)	JASDQU010106565.1	125000	36	0.024860
(155,877)(324733,331008)(300000,350000)	JASDQU010106571.1	325000	724	0.270848
(3170,3266)(55012,55127)(50000,100000)	JASDQU010106587.1	75000	98	0.029417
(2478,3400)(337664,338610)(300000,350000)	JASDQU010106661.1	325000	924	0.028883
(3602,4001)(112440,112888)(100000,150000)	JASDQU010106678.1	125000	401	0.230396
(1376,1933)(50000,50560)(50000,100000)	JASDQU010106681.1	75000	559	0.522226
(2733,2828)(88149,88260)(50000,100000)	JASDQU010106701.1	75000	97	0.078797
(132,164)(161364,161475)(150000,200000)	JASDQU010106780.1	175000	34	0.002299
(682,850)(100000,100172)(100000,150000)	JASDQU010106784.1	125000	170	0.124378
(1666,2228)(66947,68704)(50000,100000)	JASDQU010106828.1	75000	564	0.117420
(1262,2843)(113660,117601)(100000,150000)	JASDQU010106878.1	125000	1583	0.028473
(171,1273)(135007,136216)(100000,150000)	JASDQU010106887.1	125000	1104	0.426020
(590,1388)(52658,69635)(50000,100000)	JASDQU010106936.1	75000	800	0.391466
(1389,1404)(210721,210747)(200000,250000)	JASDQU010106936.1	225000	17	0.062555
(1405,2346)(270618,271577)(250000,300000)	JASDQU010106936.1	275000	943	0.077842
(2201,2213)(226158,233429)(200000,250000)	JASDQU010106980.1	225000	14	0.072145
(257,1193)(109763,140420)(100000,150000)	JASDQU010106981.1	125000	938	0.264062
(1353,2567)(64890,75735)(50000,100000)	JASDQU010106993.1	75000	1216	0.388904
(14,249)(95742,96003)(50000,100000)	JASDQU010107010.1	75000	237	0.079954
(180,484)(50892,51219)(50000,100000)	JASDQU010107036.1	75000	306	0.516497
(746,765)(178949,178974)(150000,200000)	JASDQU010107073.1	175000	21	0.047505
(324,558)(60747,61078)(50000,100000)	JASDQU010107139.1	75000	236	0.099323
(327,762)(205357,205831)(200000,250000)	JASDQU010107148.1	225000	437	0.177971
(763,819)(341576,341633)(300000,350000)	JASDQU010107148.1	325000	58	0.038667
(841,4192)(50000,92688)(50000,100000)	JASDQU010107151.1	75000	3353	0.816217
(584,715)(161143,161282)(150000,200000)	JASDQU010107158.1	175000	133	0.452427
(649,936)(97775,98491)(50000,100000)	JASDQU010107187.1	75000	289	0.270490
(478,749)(80062,80392)(50000,100000)	JASDQU010107188.1	75000	273	0.029481
(906,1764)(57771,58637)(50000,100000)	JASDQU010107223.1	75000	860	0.076346
(870,1471)(89997,90661)(50000,100000)	JASDQU010107242.1	75000	603	0.301438
(1039,1664)(61146,61811)(50000,100000)	JASDQU010107255.1	75000	627	0.380341
(418,2006)(188584,197785)(150000,200000)	JASDQU010107320.1	175000	1590	0.039603
(2664,2936)(58574,92987)(50000,100000)	JASDQU010107329.1	75000	274	0.018478
(847,997)(123398,123549)(100000,150000)	JASDQU010107333.1	125000	152	0.033835
(22,211)(84323,84522)(50000,100000)	JASDQU010107340.1	75000	191	0.160182
(802,866)(271262,271552)(250000,300000)	JASDQU010107355.1	275000	66	0.443032
(867,1774)(362969,387502)(350000,400000)	JASDQU010107355.1	375000	909	0.269206
(1729,4469)(119150,127984)(100000,150000)	JASDQU010107361.1	125000	2742	0.434107
(214,559)(112717,126220)(100000,150000)	JASDQU010107392.1	125000	347	0.028258
(723,1337)(100000,100619)(100000,150000)	JASDQU010107461.1	125000	616	0.424821
(2049,2255)(62673,63084)(50000,100000)	JASDQU010107484.1	75000	208	0.193175
(463,2862)(60291,84050)(50000,100000)	JASDQU010107496.1	75000	2401	0.144951
(2142,2609)(52050,99999)(50000,100000)	JASDQU010107497.1	75000	469	0.691398
(2081,3058)(63430,64416)(50000,100000)	JASDQU010107503.1	75000	979	0.587645
(3059,3269)(138581,138935)(100000,150000)	JASDQU010107503.1	125000	212	0.072476
(119,428)(187466,187859)(150000,200000)	JASDQU010107510.1	175000	311	0.066189
(466,651)(125332,125517)(100000,150000)	JASDQU010107513.1	125000	187	-0.000938
(1384,1846)(155800,156287)(150000,200000)	JASDQU010107541.1	175000	464	0.090210
(90,90)(225032,225032)(200000,250000)	JASDQU010107546.1	225000	2	0.039144
(744,1698)(58935,69935)(50000,100000)	JASDQU010107549.1	75000	956	0.132225
(1699,2650)(240237,241189)(200000,250000)	JASDQU010107549.1	225000	953	0.551035
(696,1726)(250169,268125)(250000,300000)	JASDQU010107575.1	275000	1032	0.199071
(106,4494)(187701,195766)(150000,200000)	JASDQU010107579.1	175000	4390	0.162534
(352,1037)(137933,139942)(100000,150000)	JASDQU010107603.1	125000	687	0.612897
(1038,1410)(156199,156582)(150000,200000)	JASDQU010107603.1	175000	374	0.039522
(1411,1777)(227563,227942)(200000,250000)	JASDQU010107603.1	225000	368	-0.003680
(1778,3788)(254869,283518)(250000,300000)	JASDQU010107603.1	275000	2012	0.145383
(398,501)(57422,57533)(50000,100000)	JASDQU010107624.1	75000	105	0.077813
(2279,2390)(80908,81022)(50000,100000)	JASDQU010107633.1	75000	113	0.081108
(2391,2660)(122780,123199)(100000,150000)	JASDQU010107633.1	125000	271	0.073168
(768,10834)(126110,145593)(100000,150000)	JASDQU010107682.1	125000	10068	0.756075
(2875,2944)(151748,151827)(150000,200000)	JASDQU010107804.1	175000	71	0.072725
(2945,3576)(200912,247955)(200000,250000)	JASDQU010107804.1	225000	633	0.041393
(366,517)(264973,265133)(250000,300000)	JASDQU010107820.1	275000	153	0.098599
(25,26)(98764,98765)(50000,100000)	JASDQU010107835.1	75000	3	0.037423
(337,1349)(106877,107920)(100000,150000)	JASDQU010107839.1	125000	1014	0.280434
(99,103)(173791,173796)(150000,200000)	JASDQU010107870.1	175000	6	0.043939
(485,1177)(64822,66043)(50000,100000)	JASDQU010107883.1	75000	694	0.104966
(433,532)(92698,92832)(50000,100000)	JASDQU010107884.1	75000	101	0.762093
(623,1447)(67242,68085)(50000,100000)	JASDQU010107903.1	75000	826	0.321277
(1720,2863)(66308,69685)(50000,100000)	JASDQU010107926.1	75000	1145	0.729399
(1129,1324)(169142,169355)(150000,200000)	JASDQU010108008.1	175000	197	0.182571
(210,680)(52658,56192)(50000,100000)	JASDQU010108038.1	75000	472	0.024985
(3118,3475)(107344,107761)(100000,150000)	JASDQU010108071.1	125000	359	0.139988
(49,136)(192031,192141)(150000,200000)	JASDQU010108075.1	175000	89	0.034530
(110,2035)(82967,86022)(50000,100000)	JASDQU010108077.1	75000	1927	0.434761
(131,673)(200332,201055)(200000,250000)	JASDQU010108087.1	225000	544	0.291892
(407,778)(93908,94294)(50000,100000)	JASDQU010108112.1	75000	373	0.022695
(533,616)(153400,153489)(150000,200000)	JASDQU010108127.1	175000	85	0.010442
(300,1880)(63041,96476)(50000,100000)	JASDQU010108138.1	75000	1582	0.183931
(555,2129)(81508,84137)(50000,100000)	JASDQU010108151.1	75000	1576	0.207243
(4052,4875)(83650,84481)(50000,100000)	JASDQU010108156.1	75000	825	0.568871
(1424,2324)(113670,114585)(100000,150000)	JASDQU010108173.1	125000	902	0.336218
(32,362)(88152,88534)(50000,100000)	JASDQU010108195.1	75000	332	0.338513
(673,734)(77105,77178)(50000,100000)	JASDQU010108213.1	75000	63	0.051885
(1415,1740)(114038,114561)(100000,150000)	JASDQU010108224.1	125000	327	0.056830
(1741,2205)(165605,166262)(150000,200000)	JASDQU010108224.1	175000	466	0.004681
